name,type,description,abbrev,url,contact_info,year_founded,date_start,date_end,sphere,Recurs,Region,Country,State,City
Challenges and Solutions for DNS Security in IPv6,Research & Advocacy,"""The Domain Name System (DNS) is a necessary component of the Internet that allows hosts on the Internet to communicate with other hosts without needing to know their cryptic IP addresses. When this protocol was first introduced it did not contain robust security features because scalability was an issue. One of the useful features added to DNS was the DNS update mechanism that allowed other hosts to dynamically change DNS entries. This feature, though, exposed new vulnerabilities to DNS servers which necessitated the implementation of new security protocols. Some of the security protocols introduced to address these issues were Transaction SIGnature (TSIG) and DNS Security Extension (DNSSEC). Although, in IPv4, these mechanisms did resolve most of the security issues dealing with authentication between a node and a DNS server, they are not viable in IPv6 networks. This is because the Neighbor Discovery Protocol (NDP) introduced to organize the large IPv6 address space automatically does not support DNS authentication or have an option for secure DNS updating. In this chapter, the authors first explain the common approaches used in IPv4 to address these security issues. Then they explain the differences between the use of these approaches in IPv4 and IPv6, where the focus is on new research with regard to authentication mechanisms between hosts and DNS servers.""",,http://www.igi-global.com/chapter/challenges-and-solutions-for-dns-security-in-ipv6/78870,,,2014,,Global,,,,,
Retrofitting Security into Network Protocols: The Case of DNSSEC,Research & Advocacy,"""DNS Security Extensions (DNSSEC) became standardized more than 15 years ago, but its adoption is still limited. The recent publication of several new, off-path DNS cache-poisoning and wide-scale man-in-the-middle attacks should motivate DNSSEC adoption. However, significant challenges and pitfalls have resulted in severely limited deployment, which is furthermore often incorrect (and hence vulnerable). The authors outline these problems and suggest directions for improvement and further research.""",,http://ieeexplore.ieee.org/xpl/login.jsp?tp=&arnumber=6756846&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D6756846,,,1/1/2014,,Global,,,,,
Evaluating the Security of a DNS Query Obfuscation Scheme for Private Web Surfing,Research & Advocacy,"""The Domain Name System (DNS) does not provide query privacy. Query obfuscation schemes have been proposed to overcome this limitation, but, so far, they have not been evaluated in a realistic setting. In this paper we evaluate the security of a random set range query scheme in a real-world web surfing scenario. We demonstrate that the scheme does not sufficiently obfuscate characteristic query patterns, which can be used by an adversary to determine the visited websites. We also illustrate how to thwart the attack and discuss practical challenges. Our results suggest that previously published evaluations of range queries may give a false sense of the attainable security, because they do not account for any interdependencies between queries.""",,http://link.springer.com/chapter/10.1007/978-3-642-55415-5_17,,,2014,,Global,,,,,
"Commerce Department, ICANN and VeriSign Deploy New Technology to Enhance the Security and Stability of the Internet",Research & Advocacy,"Press release: ""The U.S. Department of Commerce's National Telecommunications and Information Administration (NTIA) and National Institute of Standards and Technology (NIST) today announced completion of an initiative with the Internet Corporation for Assigned Names and Numbers (ICANN) and VeriSign to enhance the security and stability of the Internet.  The announcement marks full deployment of a security technology -- Domain Name System Security Extensions (DNSSEC) -- at the Internet’s authoritative root zone (i.e. the address book of the Internet), which will help protect Internet users against cache poisoning and other related cyber attacks.""",,http://www.commerce.gov/news/press-releases/2010/07/16/commerce-department-icann-and-verisign-deploy-new-technology-enhance-,,,7/16/2010,,Global,,,,,
A Major Milestone for Internet Security,Research & Advocacy,"Blog post: ""Last week marked a significant advance in the security of the Internet. After years of intensive design, testing, and implementation work, the Internet's domain name system now has a new security upgrade that allows Internet service providers and end users alike to protect against an important online vulnerability: the clandestine redirecting of online communications to unwanted destinations.
The Internet’s domain name system (DNS) functions like a phone book, translating easy-to-remember domain names such as www.whitehouse.gov into numerical addresses, such as 92.122.212.144, that identify each server connected to the Internet. The new upgrade is a set of standards known collectively as the Domain Name System Security Extensions (DNSSEC) protocol, and it helps ensure that when computers want to communicate with one another they don’t get tricked into talking to digital imposters instead.""",,http://www.whitehouse.gov/blog/2010/07/22/a-major-milestone-internet-security,,,7/22/2010,,Global,,,,,
7 Things You Should Know About DNSSEC,Research & Advocacy,DNSSEC: What is it? Who’s doing it? How does it work? Why is it significant? What are the downsides? Where is it going? What are the implications for higher education?,,https://net.educause.edu/ir/library/pdf/EST1001.pdf,,,2010,,Global,,,,,
Deploying Cryptography in Internet-Scale Systems: A Case Study on DNSSEC,Research & Advocacy,"""The DNS Security Extensions (DNSSEC) are among the first attempts to deploy cryptographic protections in an Internet-scale operational system. DNSSEC applies well- established public key cryptography to ensure data integrity and origin authenticity in the DNS system. While the cryptographic design of DNSSEC is sound and seemingly simple, its develop- ment has taken the IETF over a decade and several protocol revisions, and even today its deployment is still in the early stage of rolling out. In this paper, we provide the first systematic ex- amination of the design, deployment, and operational challenges encountered by DNSSEC over the years. Our study reveals a fundamental gap between cryptographic designs and operational Internet systems. To be deployed in the global Internet, a cryptographic protocol must possess several critical properties including scalability, flexibility, incremental deployability, and ability to function in face of imperfect operations. We believe that the insights gained from this study can offer valuable inputs to future cryptographic designs for other Internet-scale systems.""",,http://irl.cs.ucla.edu/~eoster//doc/todsc-paper.pdf,,,2009,,Global,,,,,
DNSSEC HOWTO: a tutorial in disguise,Research & Advocacy,"""This HOWTO is intended for those people who want to deploy DNSSEC and are seeking a document that lives between a typical high level description of the topic (see the excellent Surfnet White Paper on DNSSEC for that (http://www.surfnet.nl/Documents/DNSSSEC-web.pdf ), the typical out of the box recipe, and an in depth description of the technology.""",,http://www.nlnetlabs.nl/publications/dnssec_howto/,,,7/4/2009,,Global,,,,,
RFC 2535 - Domain Name System Security Extensions,Standards,"""This document specifies an Internet standards track protocol for the Internet community, and requests discussion and suggestions for improvements. Please refer to the current edition of the ""Internet    Official Protocol Standards"" (STD 1) for the standardization state and status of this protocol. Distribution of this memo is unlimited.
Extensions to the Domain Name System (DNS) are described that provide data integrity and authentication to security aware resolvers and applications through the use of cryptographic digital signatures. These digital signatures are included in secured zones as resource records. Security can also be provided through non-security aware DNS servers in some cases.""",,https://www.ietf.org/rfc/rfc2535.txt,,,3/1/1999,,Global,,,,,
RFC 3833 - Threat Analysis of the Domain Name System (DNS),Standards,"""Although the DNS Security Extensions (DNSSEC) have been under development for most of the last decade, the IETF has never written down the specific set of threats against which DNSSEC is designed to protect.  Among other drawbacks, this cart-before-the-horse situation has made it difficult to determine whether DNSSEC meets its design goals, since its design goals are not well specified.  This note attempts to document some of the known threats to the DNS, and, in doing so, attempts to measure to what extent (if any) DNSSEC is a useful tool in defending against these threats.""",,http://tools.ietf.org/rfc/rfc3833.txt,,,8/1/2004,,Global,,,,,
RFC 4033 - DNS Security Introduction and Requirements,Standards,"“The Domain Name System Security Extensions (DNSSEC) add data origin authentication and data integrity to the Domain Name System. This document introduces these extensions and describes their capabilities and limitations. This document also discusses the services that the DNS security extensions do and do not provide. Last, this document describes the interrelationships between the documents that collectively describe DNSSEC.”",,http://www.ietf.org/rfc/rfc4033.txt,,,3/1/2005,,Global,,,,,
RFC 4034 - Resource Records for the DNS Security Extensions,Standards,"“This document is part of a family of documents that describe the DNS Security Extensions (DNSSEC). The DNS Security Extensions are a collection of resource records and protocol modifications that provide source authentication for the DNS. This document defines the public key (DNSKEY), delegation signer (DS), resource record digital signature (RRSIG), and authenticated denial of existence (NSEC) resource records. The purpose and format of each resource record is described in detail, and an example of each resource record is given.  This document obsoletes RFC 2535 and incorporates changes from all updates to RFC 2535.”",,http://www.ietf.org/rfc/rfc4034.txt,,,3/1/2005,,Global,,,,,
RFC 4035 - Protocol Modifications for the DNS Security Extensions,Standards,"“This document is part of a family of documents that describe the DNS Security Extensions (DNSSEC).  The DNS Security Extensions are a collection of new resource records and protocol modifications that add data origin authentication and data integrity to the DNS.  This document describes the DNSSEC protocol modifications.  This document defines the concept of a signed zone, along with the requirements for serving and resolving by using DNSSEC. These techniques allow a security-aware resolver to authenticate both DNS resource records and authoritative DNS error indications. This document obsoletes RFC 2535 and incorporates changes from all updates to RFC 2535.”",,http://www.ietf.org/rfc/rfc4035.txt,,,3/1/2005,,Global,,,,,
RFC 4398 - Storing Certificates in the Domain Name System (DNS),Standards,"“Cryptographic public keys are frequently published, and their authenticity is demonstrated by certificates. A CERT resource record (RR) is defined so that such certificates and related certificate revocation lists can be stored in the Domain Name System (DNS). This document obsoletes RFC 2538.”",,http://www.ietf.org/rfc/rfc4398.txt,,,3/1/2006,,Global,,,,,
RFC 4470 - Minimally Covering NSEC Records and DNSSEC On-line Signing,Standards,"“This document describes how to construct DNSSEC NSEC resource records that cover a smaller range of names than called for by RFC 4034. By generating and signing these records on demand, authoritative name servers can effectively stop the disclosure of zone contents otherwise made possible by walking the chain of NSEC records in a signed zone.”",,http://www.ietf.org/rfc/rfc4470.txt,,,4/1/2006,,Global,,,,,
RFC 4509 - Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records (RRs),Standards,"“This document specifies how to use the SHA-256 digest type in DNS Delegation Signer (DS) Resource Records (RRs). DS records, when stored in a parent zone, point to DNSKEYs in a child zone.”",,http://www.ietf.org/rfc/rfc4509.txt,,,5/1/2006,,Global,,,,,
RFC 5155 - DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,Standards,""" The Domain Name System Security (DNSSEC) Extensions introduced the NSEC resource record (RR) for authenticated denial of existence. This document introduces an alternative resource record, NSEC3, which similarly provides authenticated denial of existence.  However, it also provides measures against zone enumeration and permits gradual expansion of delegation-centric zones.""",,http://www.ietf.org/rfc/rfc5155.txt,,,3/1/2008,,Global,,,,,
RFC 6781 - DNSSEC Operational Practices Version 2,Standards,"""This document describes a set of practices for operating the DNS with security extensions (DNSSEC).  The target audience is zone administrators deploying DNSSEC.  The document discusses operational aspects of using keys and signatures in the DNS.  It discusses issues of key generation, key storage, signature generation, key rollover, and related policies.  This document obsoletes RFC 4641, as it covers more operational ground and gives more up-to-date requirements with respect to key sizes and the DNSSEC operations.""",,http://www.ietf.org/rfc/rfc6781.txt,,,12/1/2012,,Global,,,,,
Google Public DNS,Tools & Resources,"“Google Public DNS is a free, global Domain Name System (DNS) resolution service, that you can use as an alternative to your current DNS provider.”
""Google Public DNS is a validating, security-aware resolver. All responses from DNSSEC signed zones are validated unless clients explicitly set the CD flag in DNS requests to disable the validation.""",,https://developers.google.com/speed/public-dns/,,,,,Global,,,,,
BIND,Tools & Resources,"“BIND is open source software that implements the Domain Name System (DNS) protocols for the Internet. It is a reference implementation of those protocols, but it is also production-grade software, suitable for use in high-volume and high-reliability applications. BIND is by far the most widely used DNS software on the Internet, providing a robust and stable platform on top of which organizations can build distributed computing systems with the knowledge that those systems are fully compliant with published DNS standards.”",,http://www.isc.org/downloads/bind/,,,,,Global,,,,,
ldns,Tools & Resources,"""The goal of ldns is to simplify DNS programming, it supports recent RFCs like the DNSSEC documents, and allows developers to easily create software conforming to current RFCs, and experimental software for current Internet Drafts. A secondary benefit of using ldns is speed; ldns is written in C it should be a lot faster than Perl.
The first major tool to use ldns is Drill, from which part of the library was derived. From version 1.0.0 on, drill is be included in the ldns release and will not be distributed separately anymore. Its version number will follow that of ldns. The library also includes some other examples and tools to show how it can be used.
ldns depends on OpenSSL for its crypto functions. It can be compiled without OpenSSL, but of course you'll lose the ability to perform any cryptographic functions.""",,http://www.nlnetlabs.nl/projects/ldns/,,,1/10/2014,,Global,,,,,
DNSSEC Tools,Tools & Resources,"""The goal of the DNSSEC-Tools project is to create a set of software tools, patches, applications, wrappers, extensions, and plugins that will help ease the deployment of DNSSEC related technologies.""",,http://www.dnssec-tools.org/,,,,,Global,,,,,
Phreebird,Tools & Resources,"A DNS proxy to add support to any given server. ""Phreebird is a DNSSEC proxy that operates in front of an existing DNS server (such as BIND, Unbound, PowerDNS, Microsoft DNS, or QIP) and supplements its records with DNSSEC responses. Features of Phreebird include automatic key generation, realtime record signing, support for arbitrary responses, zero configuration, NSEC3 'White Lies', caching and rate limiting to deter DoS attacks, and experimental support for both Coarse Time over DNS and HTTP Virtual Channels. The suite also contains a large amount of sample code, including support for federated identity over OpenSSH. Finally, “Phreeload” enhances existing OpenSSL applications with DNSSEC support.""",,http://dankaminsky.com/phreebird/,,,,,Global,,,,,
Zone Key Tool,Tools & Resources,"Software designed to ease the maintenance of DNSSEC aware zones.
“ZKT is a tool to manage keys and signatures for DNSSEC-zones.”",,http://www.hznet.de/dns/zkt/,,,,,Global,,,,,
Unbound,Tools & Resources,"""Unbound is a validating, recursive, and caching DNS resolver. The C implementation of Unbound is developed and maintained by NLnet Labs. It is based on ideas and algorithms taken from a java prototype developed by Verisign labs, Nominet, Kirei and ep.net.Unbound is designed as a set of modular components, so that also DNSSEC (secure DNS) validation and stub-resolvers (that do not run as a server, but are linked into an application) are easily possible.""",,http://www.unbound.net/,,,,,Global,,,,,
GbDns,Tools & Resources,"""GbDns is a DNNSEC-enabled DNS server for Windows. A full set of recursive and authoritative functions are provided. This project was originally provoked by the problems noted by Dan Kaminsky in July 2008. Earlier versions used query repetition to provide a secure recursive caching DNS server behind a NAT firewall that reverses port randomization. The curent version depends more on port randomisation, but also uses a simpler method of preventing Kaminsky-type attacks.""",,http://www.george-barwood.pwp.blueyonder.co.uk/DnsServer/,,,,,Global,,,,,
Trust Anchors and Keys,Tools & Resources,"""The Root Key Signing Key acts as the trust anchor for DNSSEC for the Domain Name System. This trust anchor is configured in DNSSEC-aware resolvers to facilitate validation of DNS data. For a complete description of these files and mechanisms for updating the trust anchor, please review DNSSEC Trust Anchor Publication for the Root Zone.""",,https://www.iana.org/dnssec/files,,,,,Global,,,,,
CADR,Tools & Resources,"“CADR is a registry for DNS data, i.e. CADR is a tool in the same ball park as registries run by TLDs to manage delegation information; or, in some environments, run by registrars to manage delegation information for customers for further propagation to a registry (typically for a TLD).
CADR differs from other registries by utilizing the in- band authentication of DNS data provided by DNSSEC. This enables a new level of simplicity in the management of the parent-child relation at a zone cut (aka a delegation point)  – i.e. CADR is leveraging from DNSSEC to make the registry  simpler.”",,http://archive.icann.org/en/meetings/saopaulo/presentation-cadr-07dec06.pdf,,,,,Global,,,,,
DLV Test Zones,Tools & Resources,"""OARC maintains a number of DNS zones that may be used to test DLV registries for correct operation. * These zones exists only so that they will be published in DLV registries * The zone content is intended to be very stable * The zones are signed with keys that expire in the year 2029 so that there are effectively no key rollovers.""",,https://www.dns-oarc.net/oarc/services/dlvtest,,,,,Global,,,,,
DNSCheck,Tools & Resources,"“DNSCheck is a program that was designed to help people check, measure and hopefully also understand the workings of the Domain Name System, DNS. When a domain (aka zone) is submitted to DNSCheck it will investigate the domain's general health by traversing the DNS from root (.) to the TLD (Top Level Domain, like .SE) to eventually the nameserver(s) that holds the information about the specified domain (like iis.se). Some other sanity checks, for example measuring host connectivity, validity of IP-addresses and control of DNSSEC signatures will also be performed.”",,http://dnscheck.iis.se/,,,,,Global,,,,,
DNSSEC Debugger,Tools & Resources,"“The DNSSEC Debugger from VeriSign Labs is an on-line tool to assist with diagnosing problems with DNSSEC-signed names and zones.""",,http://dnssec-debugger.verisignlabs.com/,,,,,Global,,,,,
DNSSEC Key Management Tools,Tools & Resources,"“This is a beta release of a DNSSEC key management tool that RIPE NCC has developed as part of the DISI project. This program suite was designed to ease DNSSEC key management. The suite provides a front-end to the BIND dnssec-keygen(8) and dnssec-signzone(8) tools. The suite contains, besides a number of libraries, the following programs: 1) maintkeydb: A shell in which you maintain your keys. 2) dnssigner: A signer that uses the keydatabase to sign zones. 3) dnssecmaint-config: A tool to create an initial config. 4) dnssec-copyprivate: Copies keypairs out of the keydatabase to a different location (Useful in combination with a dynamic zone.) Extensive documentation for this toolset is availble as HTML or PDF.”",,http://www.ripe.net/data-tools/projects/archive/disi/dnssec-key-management-tools,,,,,Global,,,,,
OpenDNSSEC,Tools & Resources,"""The OpenDNSSEC project announces the development of Open Source software that manages the security of domain names on the Internet. The project intends to drive adoption of Domain Name System Security Extensions (DNSSEC) to further enhance Internet security."" “OpenDNSSEC is a tool which simplifies the process of signing one or more zones with DNSSEC. OpenDNSSEC handles the entire process from an unsigned to a signed zone automatically, including secure key management and timing issues.”",,https://www.opendnssec.org/,,,,,Global,,,,,
National Institute of Science and Technology,Actor,"NIST is a governmental agency within the United States Department of Commerce with a stated goal to “Promote U.S. innovation and industrial competitiveness by advancing measurement science, standards, and technology in ways that enhance economic security and improve our quality of life.” NIST was active in initially setting up DNSSEC discussion and standards.",NIST,http://www.nist.gov/,,,,,National,,,,,
VeriSign,Actor,"VeriSign is a for profit directly responsible for the adoption of a number of DNSSEC protocols, and is one of the four entities responsible for managing the root certification ensuring DNSSEC remains successful.",,https://www.verisigninc.com/,,,,,Global,,,,,
Security and Stability Advisory Commission,Actor,"“The Security and Stability Advisory Committee advises the ICANN community and Board on matters relating to the security and integrity of the Internet's naming and address allocation systems. This includes operational matters (e.g., matters pertaining to the correct and reliable operation of the root name system), administrative matters (e.g., matters pertaining to address allocation and Internet number assignment), and registration matters (e.g., matters pertaining to registry and registrar services such as WHOIS). SSACengages in ongoing threat assessment and risk analysis of the Internet naming and address allocation services to assess where the principal threats to stability and security lie, and advises the ICANN community accordingly.”",SSAC,https://www.icann.org/resources/pages/ssac-2012-02-25-en,,,,,Global,,,,,
"Communications Security, Reliability and Interoperability Council at the Federal Communications Commission",Actor,"“The Communications Security, Reliability and Interoperability Council's (CSRIC) mission is to provide recommendations to the FCC to ensure, among other things, optimal security and reliability of communications systems, including telecommunications, media, and public safety.”",FCC CSRIC,http://transition.fcc.gov/pshs/advisory/csric/,,,,,National,,,USA,,
Good Practices Guide for Deploying DNSSEC,Research & Advocacy,"""Deploying DNSSEC requires a number of security details and procedures to be defined and followed with specific requirements as to timing. This guide addresses these issues from the point of view of information security managers responsible for defining a policy and procedures to secure the DNS services of a company or an organisation, and from the point of view of competent authorities defining or regulating requirements for deployment.""",,http://www.enisa.europa.eu/activities/Resilience-and-CIIP/networks-and-services-resilience/dnssec/gpgdnssec,,,3/1/2010,,Global,,,,,
Root DNSSEC: Information about DNSSEC for the Root Zone,Research & Advocacy,"""This website contains announcements, releases and other pertinent information about the deployment of DNSSEC for the root zone. DNSSEC for the root zone is a joint effort between ICANN and VeriSign, with support from the U.S. Department of Commerce.""",,http://www.root-dnssec.org/,,,,,Global,,,,,
Domain Name System Security (DNSSEC) Algorithm Numbers,Tools & Resources,"""Registries included: DNS Security Algorithm Numbers, DNS KEY Record Diffie-Hellman Prime Lengths, DNS KEY Record Diffie-Hellman Well-Known Prime/Generator Pairs""",,http://www.bind9.net/dns-sec-algorithm-numbers,,,11/3/2003,,Global,,,,,
DNSKEY Flags,Tools & Resources,"""Registry included below: DNSKEY RR Flags""",,http://www.bind9.net/dnskey-flags,,,2/4/2002,,Global,,,,,
"Resilience Features in Communication Networks: IPv6, DNSSEC and MPLS",Research & Advocacy,"""In this study an overview of the characteristics of the selected technologies is given, their public eCommunication network's resilience enhancing features are analysed and other properties that one has to be aware of in order to make a decision about their deployment are outlined. Furthermore, a number of deployment scenarios for the technologies are presented.""",,http://www.enisa.europa.eu/publications/archive/res-feat,,,1/21/2009,,Global,,,,,
Study on the Costs of DNSSEC Deployment,Research & Advocacy,"""Deploying a new technology requires investment in software, hardware and human resources. In the case of DNSSEC the cost of these investments is not well defined and this uncertainty can hinder its deployment. This study analyses the costs involved in deploying DNSSEC in a registry, registrar, zone operator or recursive resolver operator.""",,http://www.enisa.europa.eu/publications/archive/dnsseccosts,,,11/20/2009,,Global,,,,,
Test Report: DNSSEC Impact on Broadband Routers and Firewalls,Research & Advocacy,"“During July and August 2008, Core Competence and Nominet collaborated to develop and conduct a series of tests, intended to assess the impact of DNSSEC on residential Internet router and SOHO firewall devices commonly used with broadband services. This report documents our findings.”",,http://download.nominet.org.uk/dnssec-cpe/DNSSEC-CPE-Report.pdf,,,9/1/2008,,Global,,,,,
DNSSEC Deployment Initiative,Actor,"""The DNSSEC Deployment Initiative works to encourage all sectors to voluntarily adopt security measures that will improve security of the Internet’s naming infrastructure, as part of a global, cooperative effort that involves many nations and organizations in the public and private sectors.
Until 2104 the DNSSEC Deployment Initiative was supported by the U.S. Department of Homeland Security Science and Technology (S&T) Directorate.  Deploying DNSSEC is an important element in the U.S. cybersecurity policy, which, given the global nature of the Internet, necessarily transcends national boundaries.  Given this global nature of DNSSEC deployment, the Internet Society has now become the home for the work produced by the DNSSEC Deployment Initiative.""",,http://www.dnssec-deployment.org/,,,,,Global,,,,,
White House Office of Management and Budget,Actor,"""The core mission of OMB is to serve the President of the United States in implementing his vision across the Executive Branch.  OMB is the largest component of the Executive Office of the President.  It reports directly to the President and helps a wide range of executive departments and agencies across the Federal Government to implement the commitments and priorities of the President.""",WH OMB,http://www.whitehouse.gov/omb,,1970,,,National,,,USA,,
VeriSign,Actor,"""Verisign operates the infrastructure for the .com, .net, .tv, .cc, .name, .jobs, .edu and .gov top-level domains, as well as two of the world’s 13 Internet root servers A and J, managing and protecting the DNS infrastructure for some 128.5 million domain names and processing more than 85 billion Internet queries daily.  Verisign’s infrastructure assurance services, including Managed DNS, DDoS Protection and iDefense Security Intelligence, help to ensure online businesses are as available as the Web itself.
For more than 15 years, Verisign has maintained 100 percent operational accuracy and stability for .com and .net, keeping the world connected online—seamlessly and securely. Today the company continues to play a central role in the expansion and protection of the Internet, working continuously to improve and evolve its infrastructure as both threats and usage continue to increase dramatically. Verisign is both IPv6 and DNSSEC compliant and versed.""",,https://www.verisigninc.com/,,1995,,,Global,,,,,
DNS Security and Stability Analysis Working Group,Actor,"""The objective of the DSSA Working Group is to draw upon the collective expertise of the participating SOs and ACs, solicit expert input and advice and report to the respective participating SOs and ACs on:
The actual level, frequency and severity of threats to the DNS;
The current efforts and activities to mitigate these threats to the DNS; and
The gaps (if any) in the current security response to DNS issues.""",DSSA-WG,http://ccnso.icann.org/workinggroups/dssa-wg.htm,,,,,Global,,,,,
At-Large Advisory Committee,Actor,"""'At-Large' is the name for the community of individual Internet users who participate in the policy development work of ICANN. Currently, more than 160 groups representing the views of individual Internet users are active throughout the world. You can learn more about the community and its activities on this website, as well as how to join and participate in building the future of the worldwide Domain Name System (DNS) and other unique identifiers which every single user of the Internet relies on every time they go online.""",ALAC,http://www.atlarge.icann.org/,,2002,,,Global,,,,,
